iter	Passed	Remaining
0	5	7807
1	10	7880
2	15	7544
3	19	7350
4	25	7556
5	29	7425
6	35	7556
7	40	7554
8	46	7630
9	51	7638
10	56	7617
11	61	7613
12	67	7673
13	71	7611
14	76	7599
15	81	7577
16	86	7543
17	91	7518
18	96	7554
19	102	7564
20	107	7551
21	111	7499
22	116	7491
23	121	7450
24	126	7438
25	131	7433
26	136	7459
27	141	7451
28	147	7456
29	151	7445
30	157	7439
31	161	7430
32	166	7397
33	171	7398
34	176	7396
35	181	7368
36	185	7344
37	190	7317
38	194	7303
39	199	7291
40	204	7265
41	208	7233
42	213	7225
43	218	7219
44	222	7182
45	226	7163
46	232	7183
47	237	7187
48	242	7177
49	246	7140
50	251	7148
51	256	7133
52	261	7132
53	265	7116
54	270	7105
55	275	7107
56	280	7096
57	285	7086
58	290	7099
59	295	7092
60	301	7100
61	305	7092
62	311	7096
63	315	7085
64	320	7080
65	325	7073
66	330	7065
67	335	7062
68	340	7055
69	345	7056
70	350	7055
71	356	7077
72	361	7063
73	367	7075
74	372	7071
75	377	7072
76	382	7075
77	387	7069
78	392	7058
79	397	7053
80	401	7039
81	407	7047
82	411	7026
83	416	7023
84	421	7019
85	426	7010
86	430	6999
87	435	6995
88	441	7000
89	446	6996
90	450	6980
91	455	6973
92	460	6964
93	465	6959
94	470	6964
95	476	6969
96	479	6938
97	484	6928
98	489	6931
99	492	6896
100	497	6891
101	501	6879
102	507	6878
103	512	6884
104	517	6871
105	522	6870
106	527	6863
107	532	6863
108	537	6856
109	541	6841
110	546	6838
111	551	6833
112	555	6818
113	560	6812
114	566	6826
115	571	6823
116	576	6813
117	581	6809
118	586	6804
119	591	6799
120	596	6801
121	601	6798
122	607	6800
123	612	6792
124	617	6797
125	622	6791
126	627	6786
127	634	6797
128	640	6811
129	671	7078
130	677	7075
131	681	7066
132	686	7054
133	691	7051
134	697	7057
135	702	7045
136	707	7040
137	713	7039
138	717	7028
139	722	7019
140	727	7014
141	732	7006
142	737	7000
143	743	6997
144	747	6988
145	753	6992
146	759	6990
147	764	6983
148	769	6973
149	773	6960
150	776	6940
151	781	6929
152	787	6930
153	792	6924
154	797	6923
155	803	6919
156	807	6905
157	812	6899
158	817	6895
159	823	6894
160	828	6892
161	834	6888
162	838	6878
163	843	6870
164	848	6864
165	853	6856
166	858	6850
167	862	6838
168	868	6840
169	870	6806
170	874	6798
171	880	6797
172	886	6799
173	888	6771
174	894	6773
175	900	6775
176	902	6745
177	907	6737
178	912	6732
179	916	6723
180	921	6718
181	927	6713
182	932	6710
183	937	6705
184	943	6709
185	948	6701
186	953	6697
187	960	6701
188	965	6693
189	970	6691
190	975	6682
191	979	6675
192	985	6671
193	989	6661
194	994	6652
195	999	6647
196	1004	6643
197	1010	6641
198	1014	6633
199	1019	6628
200	1025	6626
201	1030	6624
202	1035	6618
203	1041	6614
204	1045	6607
205	1048	6585
206	1053	6578
207	1058	6574
208	1062	6565
209	1068	6561
210	1073	6558
211	1078	6552
212	1083	6548
213	1088	6539
214	1093	6535
215	1099	6536
216	1104	6528
217	1109	6522
218	1114	6517
219	1119	6511
220	1124	6505
221	1128	6497
222	1133	6491
223	1139	6491
224	1145	6490
225	1151	6488
226	1155	6482
227	1162	6483
228	1167	6481
229	1172	6473
230	1177	6467
231	1182	6462
232	1187	6455
233	1193	6456
234	1198	6450
235	1203	6443
236	1208	6437
237	1213	6432
238	1218	6429
239	1223	6424
240	1228	6419
241	1233	6410
242	1238	6407
243	1243	6401
244	1244	6376
245	1249	6371
246	1255	6367
247	1259	6360
248	1265	6358
249	1270	6352
250	1274	6344
251	1279	6338
252	1285	6333
253	1290	6332
254	1296	6332
255	1301	6325
256	1306	6320
257	1312	6317
258	1317	6314
259	1322	6309
260	1327	6302
261	1332	6298
262	1338	6295
263	1344	6292
264	1349	6289
265	1354	6284
266	1359	6278
267	1364	6274
268	1369	6267
269	1374	6260
270	1379	6256
271	1384	6252
272	1389	6246
273	1394	6239
274	1400	6236
275	1404	6230
276	1410	6225
277	1414	6219
278	1419	6211
279	1424	6208
280	1429	6199
281	1434	6195
282	1439	6189
283	1444	6186
284	1450	6183
285	1455	6179
286	1460	6173
287	1465	6165
288	1470	6163
289	1476	6158
290	1481	6153
291	1485	6146
292	1491	6144
293	1496	6140
294	1501	6135
295	1506	6126
296	1510	6117
297	1515	6113
298	1520	6108
299	1525	6103
300	1531	6100
301	1536	6094
302	1541	6089
303	1547	6087
304	1552	6083
305	1558	6079
306	1563	6074
307	1567	6066
308	1572	6060
309	1577	6055
310	1583	6052
311	1588	6046
312	1592	6040
313	1598	6036
314	1604	6037
315	1609	6030
316	1614	6026
317	1620	6021
318	1626	6020
319	1631	6014
320	1637	6013
321	1642	6007
322	1647	6003
323	1653	6000
324	1655	5985
325	1661	5981
326	1667	5980
327	1671	5972
328	1676	5966
329	1681	5961
330	1687	5961
331	1694	5962
332	1700	5959
333	1705	5954
334	1710	5949
335	1715	5942
336	1719	5935
337	1724	5927
338	1729	5924
339	1735	5920
340	1740	5914
341	1744	5906
